rule_id,message,file,line,col,index,Annotator_1,Annotator_2,Resolution,Last Round,Resolution comment,same,issue_local,reported_as,issue_url,status,reason,comment_2,reason.1,label,url,repo_owner,repo_name,name,stars,issues,forks,contributors,commits,latest_commit_date,days_since_latest_commit
ql-deprecated-identity,The deprecated iden() API is called.,test_noise_model_bb93ba.py,549,9.0,,FP,,,FP,,,,no_inactive,,,RDI5,,,FP,https://github.com/frevson/Qiskit-Aer/blob/dac153d6730e4de9d7787b0de8540855a26b81e6/test/terra/test_noise_model.py,frevson,Qiskit-Aer,Qiskit-Aer,0.0,0.0,0.0,8.0,30.0,2019-01-23 20:17:14+00:00,1866.0
ql-deprecated-identity,The deprecated iden() API is called.,4_qbits_decoherence_9bbc1f.py,397,9.0,,TP,,,TP,,,,no_inactive,,,RDI1,,,TP,https://github.com/NTrevisani/DataScienceMaster/blob/b32ae615a4412143d6486ed767630f46ee4cfed4/QuantumComputing/4_Qbits_decoherence.py,NTrevisani,DataScienceMaster,DataScienceMaster,1.0,0.0,2.0,1.0,30.0,2020-08-15 18:04:04+00:00,1296.0
ql-deprecated-identity,The deprecated iden() API is called.,022_03b_bernstein_vazirani_algorithm_f13ae3.py,39,9.0,,NW,,,NW,,,,no_inactive,,,RDI2,,,NW,https://github.com/camitava0321/quantumComputing/blob/534b3a2459b1f709e2e9601213c4100c26b3a0a5/qiskit-jupyter-notebooks/022_03b_Bernstein_Vazirani_Algorithm.py,camitava0321,quantumComputing,quantumComputing,16.0,1.0,10.0,1.0,30.0,2023-11-23 08:37:54+00:00,102.0
ql-deprecated-identity,The deprecated iden() API is called.,deutch_jozsa_ba9beb.py,133,3.0,,FP,,,FP,,,,no_inactive,,,RDI3,,,FP,https://github.com/DEBARGHYA4469/quantum-compiler/blob/1753693ff9e98da763bb11555997313223040d36/Deutsch-Jozsa/deutch_jozsa.py,DEBARGHYA4469,quantum-compiler,quantum-compiler,14.0,1.0,1.0,1.0,28.0,2018-07-20 06:14:25+00:00,2054.0
ql-deprecated-identity,The deprecated iden() API is called.,bit_flip_code_f40402.py,48,,,TP,,,TP,,,,no_inactive,,,RDI1,,,TP,https://github.com/anandukmadhu/QEC-code/blob/6c50ec2f176764c9fd34e95673d255ebf06376bb/bit_flip_code.py,anandukmadhu,QEC-code,QEC-code,0.0,0.0,0.0,1.0,7.0,2018-10-13 06:45:24+00:00,1969.0
ql-deprecated-identity,The deprecated iden() API is called.,bit_flip_code_f40402.py,47,,,TP,,,TP,,,,no_inactive,,,RDI1,,,TP,https://github.com/anandukmadhu/QEC-code/blob/6c50ec2f176764c9fd34e95673d255ebf06376bb/bit_flip_code.py,anandukmadhu,QEC-code,QEC-code,0.0,0.0,0.0,1.0,7.0,2018-10-13 06:45:24+00:00,1969.0
ql-deprecated-identity,The deprecated iden() API is called.,a3_quantum_phase_estimation_e1b22d.py,38,,,FP,,,FP,,,,,,,RDI3,,,FP,https://github.com/mrtkp9993/QuantumComputingExamples/blob/412be164277a69a5627617424b12a4a4b8c957be/a3_quantum_phase_estimation.py,mrtkp9993,QuantumComputingExamples,QuantumComputingExamples,76.0,0.0,21.0,2.0,30.0,2022-08-03 18:29:18+00:00,578.0
ql-deprecated-identity,The deprecated iden() API is called.,4_qbits_decoherence_9bbc1f.py,394,9.0,,TP,,,TP,,,,no_inactive,,,RDI1,,,TP,https://github.com/NTrevisani/DataScienceMaster/blob/b32ae615a4412143d6486ed767630f46ee4cfed4/QuantumComputing/4_Qbits_decoherence.py,NTrevisani,DataScienceMaster,DataScienceMaster,1.0,0.0,2.0,1.0,30.0,2020-08-15 18:04:04+00:00,1296.0
ql-deprecated-identity,The deprecated iden() API is called.,test_extensions_simulator_635eeb.py,96,9.0,,FP,,,FP,,,,,,,RDI3,,,FP,https://github.com/indisoluble/qasm-simulator-cpp-debian-pkg/blob/5fb81719defacf8731b96c74d934d7bf9191afa8/qiskit-sdk-py-0.5.1/test/python/test_extensions_simulator.py,indisoluble,qasm-simulator-cpp-debian-pkg,qasm-simulator-cpp-debian-pkg,0.0,0.0,0.0,1.0,10.0,2018-05-19 23:41:52+00:00,2115.0
ql-deprecated-identity,The deprecated iden() API is called.,4_qbits_decoherence_9bbc1f.py,268,9.0,,TP,,,TP,,,,no_inactive,,,RDI1,,,TP,https://github.com/NTrevisani/DataScienceMaster/blob/b32ae615a4412143d6486ed767630f46ee4cfed4/QuantumComputing/4_Qbits_decoherence.py,NTrevisani,DataScienceMaster,DataScienceMaster,1.0,0.0,2.0,1.0,30.0,2020-08-15 18:04:04+00:00,1296.0
