issue,rule_id,description,file,line,Present_in_codeql_2023-09-18_17-17-54,status,manifestation,issue_link
08_c50734_412,ql-measure-all-abuse,Measure all generates a twice as long output,qiskit_c50734,412,yes,Confirmed,Silent,
06_fe6009_63,ql-double-measurement,Redundant measurement,inefficientnot_fe6009,63,yes,Fixed,Silent,
06_13ba80_90,ql-ghost-composition,Missing compose assignment in a test case,test_mc_gate_13ba80,90,yes,Fixed,Silent,https://github.com/qclib/qclib/issues/139
06_13ba80_107,ql-ghost-composition,Missing compose assignment in a test case,test_mc_gate_13ba80,107,yes,Fixed,Silent,https://github.com/qclib/qclib/issues/139
06_4c9443_35,ql-unmeasurable-qubits,Unused qubit,circuit_0_5_4c9443,35,yes,Reported,Silent,
06_17fe47_18,,Gate after measurement in wrong OR implementation,or_with_qubits_17fe47,18,no,Reported,Silent,
08_c4c34f_59,ql-op-after-optimization,Measure gate added after transpilation,real_system_c4c34f,59,yes,Reported,Silent,
08_9232ea_55,ql-op-after-optimization,Measure gate added after transpilation (Grover's algor.),groverfuncs_9232ea,55,yes,Reported,Silent,
06_55fd07_25,ql-measure-all-abuse,Measurement creates overly long output (Bell pair),bell_states_example_55fd07,25,yes,Reported,Longer output,
06_7af332_35,ql-measure-all-abuse,Measurement creates overly long output (GHZ algor.),ghz_7af332,35,yes,Reported,Longer output,
06_09be03_19,ql-measure-all-abuse,Measurement creates overly long output,qrng_09be03,19,yes,Reported,Longer output,
06_df608f_322,ql-ghost-composition,Missing insertion of the inverse QFT (Shor's algor.),shor_df608f,322,yes,Reported,Silent,
06_13ba80_107,ql-ghost-composition,Missing compose assignment in a test case,test_mc_gate_13ba80,124,yes,Fixed,Silent,https://github.com/qclib/qclib/issues/139
08_ca5e66_35,ql-measure-all-abuse,Measurement creates overly long output,ghz_ca5e66,35,yes,Fixed,Silent,
08_12fb50_70,ql-measure-all-abuse,Measurement creates overly long output (CTF competition),code_12fb50,70,yes,Not Fix,Silent,https://github.com/USTC-Hackergame/hackergame2022-writeups/issues/64
08_9276a1_31,ql-operation-after-measurement,"Non idiomatic teleportation, lack of c_if",quantum_teleportation_9276a1,31,yes,Confirmed,Silent,https://github.com/benkoehlL/Qiskit_Playground/issues/1
08_e3f4e0_74,ql-double-measurement,Redundant measurment,quantum_e3f4e0,74,yes,Fixed,Silent,https://github.com/clausia/tetromiq/pull/41
